"","x"
"1",0
"2",1
"3",5
"4",15
"5",28
"6",35
"7",70
"8",65
"9",63
"10",61
"11",77
"12",77
"13",56
"14",58
"15",47
"16",33
"17",21
"18",17
"19",16
"20",29
"21",26
"22",11
"23",27
"24",13
"25",7
"26",4
"27",6
"28",5
"29",8
"30",5
"31",12
"32",16
"33",26
"34",23
"35",26
"36",22
"37",30
"38",21
"39",11
"40",17
"41",15
"42",16
"43",18
"44",21
"45",33
"46",36
"47",45
"48",22
"49",45
"50",32
"51",34
"52",49
"53",54
"54",63
"55",97
"56",134
"57",118
"58",55
"59",77
"60",74
"61",69
"62",67
"63",46
"64",40
"65",27
"66",29
"67",59
"68",42
"69",38
"70",19
"71",18
"72",12
"73",14
"74",8
"75",14
"76",13
"77",11
"78",2
"79",11
"80",14
"81",13
"82",9
"83",1
"84",2
"85",7
"86",5
"87",8
"88",12
"89",4
"90",8
"91",7
"92",14
"93",10
"94",10
"95",9
"96",5
"97",9
"98",23
"99",41
"100",51
"101",61
"102",57
"103",66
"104",80
"105",91
"106",71
"107",37
"108",26
"109",48
"110",83
"111",84
"112",77
"113",79
"114",59
"115",52
"116",63
"117",59
"118",48
"119",55
"120",56
"121",45
"122",33
"123",26
"124",20
"125",19
"126",19
"127",17
"128",17
"129",5
"130",3
"131",6
"132",6
"133",10
"134",11
"135",11
"136",8
"137",13
"138",14
"139",15
"140",19
"141",16
"142",29
"143",45
"144",39
"145",35
"146",36
"147",38
"148",17
"149",24
"150",20
"151",18
"152",23
"153",27
"154",39
"155",52
"156",69
"157",102
"158",110
"159",83
"160",135
"161",163
"162",171
"163",106
"164",68
"165",62
"166",100
"167",84
"168",66
"169",88
"170",88
"171",68
"172",45
"173",38
"174",57
"175",50
"176",65
"177",75
"178",85
"179",56
"180",27
"181",25
"182",15
"183",8
"184",4
"185",10
"186",6
"187",10
"188",7
"189",14
"190",12
"191",8
"192",5
"193",19
"194",8
"195",7
"196",1
"197",7
"198",17
"199",13
"200",17
"201",20
"202",23
"203",16
"204",16
"205",23
"206",29
"207",33
"208",29
"209",43
"210",104
"211",96
