"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",10
"7",7
"8",0
"9",0
"10",5
"11",126
"12",16
"13",2
"14",22
"15",44
"16",66
"17",17
"18",6
"19",10
"20",139
"21",10
"22",3
"23",3
"24",11
"25",48
"26",5
"27",1
"28",13
"29",5
"30",41
"31",1
"32",23
"33",9
"34",15
"35",3
"36",2
"37",18
"38",10
"39",8
"40",5
"41",25
"42",6
"43",18
"44",14
"45",21
"46",3
"47",4
"48",8
"49",23
"50",10
"51",7
"52",13
"53",9
"54",44
"55",21
"56",32
"57",16
"58",22
"59",24
"60",9
"61",84
"62",17
"63",45
"64",53
"65",12
"66",146
"67",180
"68",34
"69",174
"70",36
"71",40
"72",80
"73",12
"74",61
"75",24
"76",19
"77",19
"78",5
"79",29
"80",43
"81",18
"82",5
"83",5
"84",8
"85",15
"86",10
"87",0
"88",13
"89",2
"90",8
"91",2
"92",2
"93",27
"94",12
"95",11
"96",1
"97",23
"98",89
"99",6
"100",3
"101",6
"102",53
"103",175
"104",18
"105",0
"106",58
"107",368
"108",74
"109",0
"110",3
"111",516
"112",116
"113",8
"114",0
"115",123
"116",487
"117",49
"118",0
"119",5
"120",362
"121",65
"122",15
"123",3
"124",24
"125",116
"126",79
"127",9
"128",4
"129",11
"130",3
"131",14
"132",5
"133",12
"134",4
"135",13
"136",2
"137",10
"138",8
"139",8
"140",0
"141",2
"142",0
"143",16
"144",3
"145",0
"146",0
"147",1
"148",2
"149",15
"150",0
"151",0
"152",3
"153",1
"154",1
"155",2
"156",0
"157",5
"158",5
"159",19
"160",2
"161",2
"162",11
"163",6
"164",6
"165",7
"166",10
"167",34
"168",12
"169",22
"170",46
"171",54
"172",59
"173",6
"174",250
"175",308
"176",576
"177",82
"178",42
"179",72
"180",18
"181",341
"182",58
"183",29
"184",23
"185",39
"186",59
"187",20
"188",1
"189",18
"190",16
"191",17
"192",28
"193",7
"194",1
"195",10
"196",10
"197",0
"198",2
"199",1
"200",3
"201",4
"202",0
"203",4
"204",4
"205",5
"206",1
"207",2
"208",11
"209",11
"210",36
"211",7
