"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.106822678180066,3.6121834983116,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.23528620871018,3.05406701523263,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.132253858662,3.26403173883621,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.0976155230653614,3.80372945623211,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.26675898842461,3.15114336856919,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.114702996753181,3.46908812572937,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.212965973753406,3.3685795066869,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.231528229836496,3.07046746283748,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.28916053141173,2.94678230359684,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.191959686162326,3.62354996774999,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.207006254627641,3.28858720562105,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.275136489717754,3.14366097378659,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.196827362438075,3.32492081550933,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.208259134048994,3.11707221496161,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.270610921246667,2.99971748792988,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.184633183830273,3.50903831297303,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.19776208956711,3.30236951361987,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.268829902250073,3.14463501968056,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",0.00232312234828197,4.49635169450697,"30",181
"20","All climate time series","Random Forests","p = 1","Scenario 1",0.0108105111571391,3.67967619225643,"30",181
"21","All climate time series","Lasso","p = 1","Scenario 1",0.025979302706464,3.51484152126943,"30",181
"22","All climate time series","Light GBM","p = 1","Scenario 1",0.000424647128505333,4.79543929531662,"60",151
"23","All climate time series","Random Forests","p = 1","Scenario 1",0.0026027898904757,3.95226253647713,"60",151
