"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.0568798451118874,3.29060982552819,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.00406195333401566,3.50155387310462,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.0463126037894866,3.02392270758813,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.145867951438348,2.35258333563555,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.0162050742153502,2.07853878962388,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.0984987552149209,2.14240253638016,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.0987585591491854,2.93852778407011,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.172623883191455,2.64886242769558,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.0643699327741553,2.8336024899575,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.153441711899948,2.02135652221942,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.316139806781348,1.69980296013931,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.1123875795567,1.9785177367999,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.0893761166066448,3.06461609426382,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.121351857489298,2.75289813273219,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.00199112936551358,3.09830217927541,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.195298499926566,2.08657572408395,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.31727045414868,1.69906767944639,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",9.03793590775489e-05,2.1002561838305,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",5.19290845584689e-05,4.01389902961032,"30",181
"20","All climate time series","Random Forests","p = 1","Scenario 1",0.000158216374436939,3.19198543209757,"30",181
"21","All climate time series","Lasso","p = 1","Scenario 1",0.00111756458926095,2.95994591287032,"30",181
"22","All climate time series","Light GBM","p = 1","Scenario 1",9.60477543246123e-06,3.09555560811704,"60",151
"23","All climate time series","Random Forests","p = 1","Scenario 1",0.00024426182370451,2.35969416141338,"60",151
