"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.0965011906293396,3.45332412368413,"30",181
"2","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.147132177160087,2.77497965611974,"30",181
"3","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.234022002352511,2.50528153650632,"30",181
"4","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.132605396912227,3.30716931905758,"60",151
"5","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.230831589569521,2.62294977350439,"60",151
"6","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.224050037389226,2.59645468417084,"60",151
"7","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.0742007505097079,3.80033596688186,"30",181
"8","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.113774218034817,2.89141862494905,"30",181
"9","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.0715792493485396,2.74130136215916,"30",181
"10","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.0903965983687661,3.749986898188,"60",151
"11","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.216322576029389,2.65823836229145,"60",151
"12","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.269741605392791,2.54613995935689,"60",151
"13","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.0847592065324153,1.63230959545639,"30",181
"14","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.113691178980569,1.37493730464354,"30",181
"15","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.0590967886335164,1.38002578492069,"30",181
"16","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.144393317904096,1.25620616575173,"60",151
"17","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.153910838854262,1.04478470256989,"60",151
"18","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.0734212857530194,1.01073651564083,"60",151
"19","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.059861756014785,1.62372363737692,"30",181
"20","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.0826944975915291,1.41537689285704,"30",181
"21","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.0958868815924349,1.35125481814554,"30",181
"22","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.0706494671005018,1.25878098236162,"60",151
"23","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.130489736350658,1.03639010514936,"60",151
"24","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.0998518337682238,1.00250672384949,"60",151
"25","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.0117826747181515,2.51611102230136,"30",181
"26","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.000801236469137138,2.27602219586119,"30",181
"27","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0566675967586402,2.13201008663466,"30",181
"28","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.0127077912800566,2.42556285670227,"60",151
"29","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.012194315178865,2.09180639584823,"60",151
"30","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0204194699123984,2.04936647870122,"60",151
"31","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.294137480139863,2.06417661799393,"30",181
"32","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.256470790905007,1.88350280645924,"30",181
"33","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.285769167872036,1.86721414396167,"30",181
"34","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.270812625711403,2.02722321156492,"60",151
"35","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.254842420594321,1.78173050116205,"60",151
"36","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.261990833086996,1.76320384084336,"60",151
"37","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.251236316839018,41.5017565128656,"30",181
"38","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.373123644531479,31.2139848655726,"30",181
"39","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.4405980305204,25.6935886407968,"30",181
"40","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.273190201720608,37.9964814207286,"60",151
"41","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.347968312268475,27.3923950044578,"60",151
"42","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.395547965886728,22.4035357841734,"60",151
"43","All climate time series + 6 lags","Light GBM","p = 1","Scenario 2",0.148061693492376,47.2946631751988,"30",181
"44","All climate time series + 6 lags","Random Forests","p = 1","Scenario 2",0.368300602549262,30.2643871002217,"30",181
"45","All climate time series + 6 lags","Lasso","p = 1","Scenario 2",0.444076050318797,25.2456958585137,"30",181
"46","All climate time series + 6 lags","Light GBM","p = 1","Scenario 2",0.169305341568407,39.8961837328532,"60",151
"47","All climate time series + 6 lags","Random Forests","p = 1","Scenario 2",0.337286915763427,26.3026104055014,"60",151
"48","All climate time series + 6 lags","Lasso","p = 1","Scenario 2",0.403616976916833,21.9473710512398,"60",151
"49","All climate time series + 3 lags","Light GBM","p = 3","Scenario 2",0.0884571909660327,108.17025201172,"30",181
"50","All climate time series + 3 lags","Random Forests","p = 3","Scenario 2",0.107088789099453,96.202351397476,"30",181
"51","All climate time series + 3 lags","Lasso","p = 3","Scenario 2",0.159965940912305,92.6887844865975,"30",181
"52","All climate time series + 3 lags","Light GBM","p = 3","Scenario 2",0.0953039112148682,111.960378145374,"60",151
"53","All climate time series + 3 lags","Random Forests","p = 3","Scenario 2",0.123421838119805,97.5711868137546,"60",151
"54","All climate time series + 3 lags","Lasso","p = 3","Scenario 2",0.0812370529793928,100.391962706567,"60",151
"55","All climate time series + 6 lags","Light GBM","p = 3","Scenario 2",0.140003830043405,120.202279522076,"30",181
"56","All climate time series + 6 lags","Random Forests","p = 3","Scenario 2",0.161101230538011,93.2754923465703,"30",181
"57","All climate time series + 6 lags","Lasso","p = 3","Scenario 2",0.053730457618411,105.865245312552,"30",181
"58","All climate time series + 6 lags","Light GBM","p = 3","Scenario 2",0.152026628674733,126.805603380236,"60",151
"59","All climate time series + 6 lags","Random Forests","p = 3","Scenario 2",0.171103379430307,95.5000868136742,"60",151
"60","All climate time series + 6 lags","Lasso","p = 3","Scenario 2",0.130344515745214,96.6046171745043,"60",151
"61","All climate time series + 3 lags","Light GBM","p = 5","Scenario 2",0.0401590991266922,50.5102810666975,"30",181
"62","All climate time series + 3 lags","Random Forests","p = 5","Scenario 2",0.122544134041044,46.3069497720225,"30",181
"63","All climate time series + 3 lags","Lasso","p = 5","Scenario 2",0.0747253120237719,47.8293564563301,"30",181
"64","All climate time series + 3 lags","Light GBM","p = 5","Scenario 2",0.0342274530832902,55.0203404539217,"60",151
"65","All climate time series + 3 lags","Random Forests","p = 5","Scenario 2",0.111650449391218,50.5048394274791,"60",151
"66","All climate time series + 3 lags","Lasso","p = 5","Scenario 2",0.0477523699517913,52.5171422621385,"60",151
"67","All climate time series + 6 lags","Light GBM","p = 5","Scenario 2",0.306004225749692,40.9008273972525,"30",181
"68","All climate time series + 6 lags","Random Forests","p = 5","Scenario 2",0.226551752340575,43.1642702640088,"30",181
"69","All climate time series + 6 lags","Lasso","p = 5","Scenario 2",0.123225198328472,52.2807267745475,"30",181
"70","All climate time series + 6 lags","Light GBM","p = 5","Scenario 2",0.299208482440191,44.5521508715451,"60",151
"71","All climate time series + 6 lags","Random Forests","p = 5","Scenario 2",0.237648765299246,46.6340761729922,"60",151
"72","All climate time series + 6 lags","Lasso","p = 5","Scenario 2",0.143919392959111,49.4332780546301,"60",151
"73","All climate time series + 3 lags","Light GBM","p = 1","Scenario 3",0.233275146288791,38.852414928839,"30",181
"74","All climate time series + 3 lags","Random Forests","p = 1","Scenario 3",0.244462968119619,31.6976123479675,"30",181
"75","All climate time series + 3 lags","Lasso","p = 1","Scenario 3",0.296490151053493,30.6772658455587,"30",181
"76","All climate time series + 3 lags","Light GBM","p = 1","Scenario 3",0.31787597993178,34.5638293319437,"60",151
"77","All climate time series + 3 lags","Random Forests","p = 1","Scenario 3",0.343108445240241,27.5128604994308,"60",151
"78","All climate time series + 3 lags","Lasso","p = 1","Scenario 3",0.320472111077727,28.67023591876,"60",151
"79","All climate time series + 6 lags","Light GBM","p = 1","Scenario 3",0.242981565647337,39.2465922062197,"30",181
"80","All climate time series + 6 lags","Random Forests","p = 1","Scenario 3",0.250951036788529,31.4727390779518,"30",181
"81","All climate time series + 6 lags","Lasso","p = 1","Scenario 3",0.231798253866067,32.2516035056899,"30",181
"82","All climate time series + 6 lags","Light GBM","p = 1","Scenario 3",0.327591515836704,35.6013115072129,"60",151
"83","All climate time series + 6 lags","Random Forests","p = 1","Scenario 3",0.349555845686666,27.2791678296167,"60",151
"84","All climate time series + 6 lags","Lasso","p = 1","Scenario 3",0.289130948906539,28.942114427544,"60",151
"85","All climate time series + 3 lags","Light GBM","p = 3","Scenario 3",0.0954834184919402,89.3154880808696,"30",181
"86","All climate time series + 3 lags","Random Forests","p = 3","Scenario 3",0.153601432631407,82.0297575487693,"30",181
"87","All climate time series + 3 lags","Lasso","p = 3","Scenario 3",0.136964793519255,83.3130945160045,"30",181
"88","All climate time series + 3 lags","Light GBM","p = 3","Scenario 3",0.0906104294175663,96.4672944728001,"60",151
"89","All climate time series + 3 lags","Random Forests","p = 3","Scenario 3",0.147245659509922,88.5424018906583,"60",151
