"","features_complete","feature_name","lags","feature_week","error","abs_error","Data_source","Association","Initial_training_samples"
"1","pmm_lag.4","pmm",4,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"2","pmm_lag.3","pmm",3,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"3","pmm_lag.2","pmm",2,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"4","Ur_lag.6","Ur",6,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"5","Ur_lag.5","Ur",5,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"6","Ur_lag.4","Ur",4,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"7","St5cm_lag.6","St5cm",6,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"8","St5cm_lag.5","St5cm",5,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"9","St5cm_lag.4","St5cm",4,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"10","y_lag.2","y",2,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"11","y_lag.1","y",1,30,-0.982647439449404,0.982647439449404,"p = 1","Scenario 1","30"
"12","Ur_lag.6","Ur",6,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"13","Ur_lag.5","Ur",5,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"14","Ur_lag.4","Ur",4,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"15","Wmean_lag.9","Wmean",9,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"16","Wmean_lag.8","Wmean",8,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"17","Wmean_lag.7","Wmean",7,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"18","Wmean_lag.6","Wmean",6,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"19","Wmean_lag.5","Wmean",5,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"20","pmm_lag.4","pmm",4,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"21","pmm_lag.3","pmm",3,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"22","pmm_lag.2","pmm",2,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"23","St5cm_lag.6","St5cm",6,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"24","St5cm_lag.5","St5cm",5,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"25","St5cm_lag.4","St5cm",4,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"26","y_lag.2","y",2,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"27","y_lag.1","y",1,31,1.09018016441114,1.09018016441114,"p = 1","Scenario 1","30"
"28","Ur_lag.6","Ur",6,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"29","Ur_lag.5","Ur",5,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"30","Ur_lag.4","Ur",4,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"31","pmm_lag.4","pmm",4,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"32","pmm_lag.3","pmm",3,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"33","pmm_lag.2","pmm",2,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"34","Wmax_lag.8","Wmax",8,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"35","Wmax_lag.7","Wmax",7,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"36","Wmax_lag.6","Wmax",6,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"37","Wmean_lag.7","Wmean",7,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"38","Wmean_lag.6","Wmean",6,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"39","Wmean_lag.5","Wmean",5,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"40","St5cm_lag.6","St5cm",6,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"41","St5cm_lag.5","St5cm",5,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"42","St5cm_lag.4","St5cm",4,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"43","y_lag.1","y",1,32,2.46287416079237,2.46287416079237,"p = 1","Scenario 1","30"
"44","tmax_lag.12","tmax",12,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"45","tmax_lag.11","tmax",11,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"46","tmax_lag.10","tmax",10,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"47","pmm_lag.4","pmm",4,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"48","pmm_lag.3","pmm",3,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"49","pmm_lag.2","pmm",2,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"50","Ur_lag.4","Ur",4,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"51","Ur_lag.3","Ur",3,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"52","Ur_lag.2","Ur",2,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"53","St5cm_lag.11","St5cm",11,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"54","St5cm_lag.10","St5cm",10,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"55","St5cm_lag.9","St5cm",9,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"56","y_lag.2","y",2,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"57","y_lag.1","y",1,33,-3.79849977353782,3.79849977353782,"p = 1","Scenario 1","30"
"58","tmax_lag.12","tmax",12,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"59","tmax_lag.11","tmax",11,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"60","tmax_lag.10","tmax",10,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"61","tmax_lag.9","tmax",9,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"62","tmean_lag.12","tmean",12,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"63","tmean_lag.11","tmean",11,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"64","tmean_lag.10","tmean",10,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"65","Wmean_lag.7","Wmean",7,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"66","Wmean_lag.6","Wmean",6,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"67","Wmean_lag.5","Wmean",5,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"68","Wmean_lag.4","Wmean",4,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"69","St5cm_lag.11","St5cm",11,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"70","St5cm_lag.10","St5cm",10,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"71","St5cm_lag.9","St5cm",9,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"72","St10cm_lag.12","St10cm",12,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"73","St10cm_lag.11","St10cm",11,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"74","St10cm_lag.10","St10cm",10,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"75","y_lag.2","y",2,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"76","y_lag.1","y",1,34,-3.05553319924899,3.05553319924899,"p = 1","Scenario 1","30"
"77","tmax_lag.12","tmax",12,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"78","tmax_lag.11","tmax",11,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"79","tmax_lag.10","tmax",10,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"80","St10cm_lag.13","St10cm",13,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"81","St10cm_lag.12","St10cm",12,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"82","St10cm_lag.11","St10cm",11,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"83","tmin_lag.12","tmin",12,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"84","tmin_lag.11","tmin",11,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"85","tmin_lag.10","tmin",10,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"86","tmean_lag.12","tmean",12,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"87","tmean_lag.11","tmean",11,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"88","tmean_lag.10","tmean",10,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"89","pmm_lag.4","pmm",4,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"90","pmm_lag.3","pmm",3,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"91","pmm_lag.2","pmm",2,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"92","Ur_lag.9","Ur",9,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"93","Ur_lag.8","Ur",8,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"94","Ur_lag.7","Ur",7,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"95","St5cm_lag.11","St5cm",11,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"96","St5cm_lag.10","St5cm",10,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"97","St5cm_lag.9","St5cm",9,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"98","y_lag.1","y",1,35,-1.13852390360031,1.13852390360031,"p = 1","Scenario 1","30"
"99","tmax_lag.12","tmax",12,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"100","tmax_lag.11","tmax",11,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"101","tmax_lag.10","tmax",10,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"102","tmin_lag.13","tmin",13,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"103","tmin_lag.12","tmin",12,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"104","tmin_lag.11","tmin",11,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"105","tmean_lag.12","tmean",12,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"106","tmean_lag.11","tmean",11,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"107","tmean_lag.10","tmean",10,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"108","pmm_lag.4","pmm",4,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"109","pmm_lag.3","pmm",3,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"110","pmm_lag.2","pmm",2,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"111","Ur_lag.9","Ur",9,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"112","Ur_lag.8","Ur",8,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"113","Ur_lag.7","Ur",7,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"114","Wmax_lag.10","Wmax",10,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"115","Wmax_lag.9","Wmax",9,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"116","Wmax_lag.8","Wmax",8,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
"117","Wmax_lag.7","Wmax",7,36,-1.44662627748524,1.44662627748524,"p = 1","Scenario 1","30"
