"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.223969586966717,2.13996344844055,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.266107121768156,1.94091923795478,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.253504215201049,1.9292878047057,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.249780628677896,2.05353099244762,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.333944552817839,1.76739635591815,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.305190140130958,1.81179794932637,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.184884526508666,2.2491631758958,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.269898246935667,1.90811606439766,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.368709244275664,1.7620888758896,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.161521444949981,2.21802246871537,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.245351182797752,1.89454250834848,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.348341768114919,1.74474471472003,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.281587010178727,1.99576007368382,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.335744969343956,1.80998433802862,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.383475268494567,1.74698044607938,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.252193328081499,1.96604307482008,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.324999335460414,1.77349290567831,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.384519620786273,1.69673020796272,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",0.0177798339353109,2.64063906444448,"30",181
