"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.264960191742079,2.07282616551953,"30",181
"2","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.37570378007038,1.81220670948617,"30",181
"3","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.439640375592757,1.72388279482275,"30",181
"4","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.270252053369839,2.0910727405514,"60",151
"5","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.405524326074969,1.78679570195226,"60",151
"6","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.457052390687007,1.7154744527666,"60",151
"7","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.215847439057781,2.20117094573641,"30",181
"8","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.351969876957898,1.84637115386724,"30",181
"9","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.427814630954993,1.74114877218034,"30",181
"10","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.215888573977928,2.23880822149136,"60",151
"11","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.389120962610554,1.81072696401526,"60",151
"12","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.450464346512645,1.72390139263853,"60",151
"13","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.122479917163179,2.05847745496387,"30",181
"14","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.208830780631053,1.78134113872579,"30",181
"15","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.255107933412021,1.72445322065153,"30",181
"16","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.065756913935012,1.98438309555653,"60",151
"17","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.136330676024541,1.65946755786076,"60",151
"18","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.159103636315953,1.59671441319143,"60",151
"19","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.137779992461497,2.0239535802321,"30",181
"20","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.231429890360373,1.76812325449377,"30",181
"21","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.214744030982141,1.78007416508749,"30",181
"22","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.0683046333767964,1.93098952561935,"60",151
"23","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.148664780648069,1.65407480642397,"60",151
"24","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.129803639891213,1.63965939344948,"60",151
"25","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.0005066199804518,1.70040715239955,"30",181
"26","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.0119056662986228,1.59217696922936,"30",181
"27","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0519704578825058,1.56485371696997,"30",181
"28","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",4.64881001840037e-05,1.80473551708926,"60",151
"29","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.00797501048161839,1.69337552903876,"60",151
"30","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0487694670567543,1.66285080385979,"60",151
"31","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.0600554723318233,1.61304806071254,"30",181
"32","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.146287172737783,1.43619830790587,"30",181
"33","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.184871065483629,1.40791430614667,"30",181
"34","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.0511443625825048,1.7128825316388,"60",151
"35","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.116786903951254,1.53981918155946,"60",151
"36","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.155399107984701,1.51654725064172,"60",151
"37","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.766621573732914,15.3840556163019,"30",181
"38","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.839672542332804,13.0771374087582,"30",181
"39","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.851505794036731,12.1864692946906,"30",181
"40","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.815136886459644,13.0848067456276,"60",151
"41","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.884625869805137,9.98490823085862,"60",151
"42","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.858262057354782,11.0620963107067,"60",151
"43","All climate time series + 6 lags","Light GBM","p = 1","Scenario 2",0.767780281804489,15.3244851146898,"30",181
"44","All climate time series + 6 lags","Random Forests","p = 1","Scenario 2",0.831774661369768,13.2694735560745,"30",181
"45","All climate time series + 6 lags","Lasso","p = 1","Scenario 2",0.834202495118841,12.9150940501904,"30",181
"46","All climate time series + 6 lags","Light GBM","p = 1","Scenario 2",0.816939475277384,12.6458048643679,"60",151
"47","All climate time series + 6 lags","Random Forests","p = 1","Scenario 2",0.881116463666726,10.1679376733591,"60",151
"48","All climate time series + 6 lags","Lasso","p = 1","Scenario 2",0.873895390304043,10.4262806979898,"60",151
"49","All climate time series + 3 lags","Light GBM","p = 3","Scenario 2",0.750950410419569,22.7841918700161,"30",181
"50","All climate time series + 3 lags","Random Forests","p = 3","Scenario 2",0.805119604211755,19.5132542230281,"30",181
"51","All climate time series + 3 lags","Lasso","p = 3","Scenario 2",0.805963108607663,19.5414120960043,"30",181
"52","All climate time series + 3 lags","Light GBM","p = 3","Scenario 2",0.770665792441536,22.1099848791232,"60",151
"53","All climate time series + 3 lags","Random Forests","p = 3","Scenario 2",0.835279072199807,18.0959499683947,"60",151
"54","All climate time series + 3 lags","Lasso","p = 3","Scenario 2",0.805754269786732,19.2810752694478,"60",151
"55","All climate time series + 6 lags","Light GBM","p = 3","Scenario 2",0.751595873083706,22.7341262833761,"30",181
"56","All climate time series + 6 lags","Random Forests","p = 3","Scenario 2",0.797019240239028,20.0210203466028,"30",181
"57","All climate time series + 6 lags","Lasso","p = 3","Scenario 2",0.810326636176149,19.7230611750344,"30",181
"58","All climate time series + 6 lags","Light GBM","p = 3","Scenario 2",0.769470648004953,22.1312523410038,"60",151
"59","All climate time series + 6 lags","Random Forests","p = 3","Scenario 2",0.831602728533639,18.6020412506428,"60",151
"60","All climate time series + 6 lags","Lasso","p = 3","Scenario 2",0.825867165992664,18.5682429619424,"60",151
"61","All climate time series + 3 lags","Light GBM","p = 5","Scenario 2",0.728040266463435,31.4345066116641,"30",181
"62","All climate time series + 3 lags","Random Forests","p = 5","Scenario 2",0.785132369494766,27.9651675932455,"30",181
"63","All climate time series + 3 lags","Lasso","p = 5","Scenario 2",0.699769017458393,32.8446985725966,"30",181
"64","All climate time series + 3 lags","Light GBM","p = 5","Scenario 2",0.73916312277983,32.002851765687,"60",151
"65","All climate time series + 3 lags","Random Forests","p = 5","Scenario 2",0.796190935934937,28.1855868751969,"60",151
"66","All climate time series + 3 lags","Lasso","p = 5","Scenario 2",0.68520782170058,34.9663857641845,"60",151
"67","All climate time series + 6 lags","Light GBM","p = 5","Scenario 2",0.740629064772119,30.4760383888015,"30",181
"68","All climate time series + 6 lags","Random Forests","p = 5","Scenario 2",0.813769768171353,25.6905292329946,"30",181
"69","All climate time series + 6 lags","Lasso","p = 5","Scenario 2",0.767262828984945,29.5508692709672,"30",181
"70","All climate time series + 6 lags","Light GBM","p = 5","Scenario 2",0.747756083349253,31.3249502308636,"60",151
"71","All climate time series + 6 lags","Random Forests","p = 5","Scenario 2",0.824519521887912,26.0998118607298,"60",151
