"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.0773399823349082,2.14815176750869,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.276264033162684,1.72666114374311,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.137304096476475,1.88394396732266,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.0650966678391993,2.1837352007709,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.270076915714044,1.75537020791379,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.142611224052653,1.90486578868412,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.166833758156007,2.13325638383953,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.27294772094255,1.73134239112325,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.348947275595565,1.63064987671358,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.147790652084262,2.13335386949833,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.250793320114122,1.7727873940093,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.350357351023609,1.64685876337315,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.210478283493634,1.9285563765543,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.312358918454617,1.67699121999059,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.346948858258305,1.63267898404105,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.197014801886748,1.92053921789423,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.28798252938195,1.72781175469253,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.340233776642284,1.66217139880121,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",0.0275944833240684,2.28599113180147,"30",181
"20","All climate time series","Random Forests","p = 1","Scenario 1",0.0499736760010733,2.03053365765154,"30",181
"21","All climate time series","Lasso","p = 1","Scenario 1",0.0128949257000578,2.03392854374919,"30",181
"22","All climate time series","Light GBM","p = 1","Scenario 1",0.0100805741451131,2.36354977575939,"60",151
"23","All climate time series","Random Forests","p = 1","Scenario 1",0.030734067209097,2.09207978265771,"60",151
"24","All climate time series","Lasso","p = 1","Scenario 1",0.00117251193328915,2.09667919900605,"60",151
"25","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.0375240794632528,2.16307819908797,"30",181
"26","Time series reconstruction","Lasso","p = 3","Scenario 1",0.110849940219152,1.88482112031464,"30",181
"27","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.0424709687933814,1.95452302003903,"30",181
"28","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.0418339555286661,2.14057351527986,"60",151
"29","Time series reconstruction","Lasso","p = 3","Scenario 1",0.113451370597402,1.84928704262998,"60",151
"30","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.0355292374539607,1.92994234609468,"60",151
"31","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.131907698341974,2.19426484787446,"30",181
"32","Naive up to 3 lags","Random Forests","p = 3","Scenario 1",0.18747141070637,1.79085795493603,"30",181
"33","Naive up to 3 lags","Lasso","p = 3","Scenario 1",0.2655268275682,1.71140744510663,"30",181
"34","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.132630959040507,2.12044774373832,"60",151
"35","Naive up to 3 lags","Random Forests","p = 3","Scenario 1",0.19587717693368,1.72568034962601,"60",151
"36","Naive up to 3 lags","Lasso","p = 3","Scenario 1",0.244596578404469,1.66670505096907,"60",151
"37","Naive up to 6 lags","Light GBM","p = 3","Scenario 1",0.137985986259931,2.09302853319323,"30",181
"38","Naive up to 6 lags","Random Forests","p = 3","Scenario 1",0.199674116949269,1.77773807940763,"30",181
"39","Naive up to 6 lags","Lasso","p = 3","Scenario 1",0.2497281497658,1.71056885396158,"30",181
"40","Naive up to 6 lags","Light GBM","p = 3","Scenario 1",0.108090893324593,2.08500757755731,"60",151
"41","Naive up to 6 lags","Random Forests","p = 3","Scenario 1",0.180713779919402,1.75159908268833,"60",151
"42","Naive up to 6 lags","Lasso","p = 3","Scenario 1",0.238176461670861,1.66342925574277,"60",151
