"","features_complete","feature_name","lags","feature_week","error","abs_error","Data_source","Association","Initial_training_samples"
"1","St5cm_lag.11","St5cm",11,30,14.4983023347954,14.4983023347954,"Coxilha","All climate time series","30"
"2","St5cm_lag.10","St5cm",10,30,14.4983023347954,14.4983023347954,"Coxilha","All climate time series","30"
"3","St5cm_lag.9","St5cm",9,30,14.4983023347954,14.4983023347954,"Coxilha","All climate time series","30"
"4","y_lag.1","y",1,30,14.4983023347954,14.4983023347954,"Coxilha","All climate time series","30"
"5","y_lag.1","y",1,31,2.42131391171366,2.42131391171366,"Coxilha","All climate time series","30"
"6","pmm_lag.12","pmm",12,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"7","pmm_lag.11","pmm",11,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"8","pmm_lag.10","pmm",10,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"9","St5cm_lag.11","St5cm",11,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"10","St5cm_lag.10","St5cm",10,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"11","St5cm_lag.9","St5cm",9,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"12","y_lag.1","y",1,32,86.8940688946285,86.8940688946285,"Coxilha","All climate time series","30"
"13","pmm_lag.12","pmm",12,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"14","pmm_lag.11","pmm",11,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"15","pmm_lag.10","pmm",10,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"16","St5cm_lag.11","St5cm",11,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"17","St5cm_lag.10","St5cm",10,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"18","St5cm_lag.9","St5cm",9,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"19","y_lag.1","y",1,33,6.17159323201827,6.17159323201827,"Coxilha","All climate time series","30"
"20","pmm_lag.14","pmm",14,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"21","pmm_lag.13","pmm",13,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"22","pmm_lag.12","pmm",12,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"23","pmm_lag.11","pmm",11,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"24","pmm_lag.10","pmm",10,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"25","pmm_lag.9","pmm",9,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"26","St5cm_lag.10","St5cm",10,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"27","St5cm_lag.9","St5cm",9,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"28","St5cm_lag.8","St5cm",8,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"29","y_lag.1","y",1,34,348.334215143012,348.334215143012,"Coxilha","All climate time series","30"
"30","Ur_lag.4","Ur",4,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"31","Ur_lag.3","Ur",3,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"32","Ur_lag.2","Ur",2,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"33","St5cm_lag.4","St5cm",4,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"34","St5cm_lag.3","St5cm",3,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"35","St5cm_lag.2","St5cm",2,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"36","y_lag.1","y",1,35,16.7800538318853,16.7800538318853,"Coxilha","All climate time series","30"
"37","Ur_lag.4","Ur",4,36,24.1836545705795,24.1836545705795,"Coxilha","All climate time series","30"
"38","Ur_lag.3","Ur",3,36,24.1836545705795,24.1836545705795,"Coxilha","All climate time series","30"
"39","Ur_lag.2","Ur",2,36,24.1836545705795,24.1836545705795,"Coxilha","All climate time series","30"
