"","Percent_025","Percent_975","Time","Approach","Type","value"
"1",20.6727333333333,24.7293425,1,"All exogenous time series","Predictions",22.3704333333333
"2",20.6727333333333,24.7293425,1,"All exogenous time series","Observed",10
"3",20.8596483333333,23.9652475,2,"All exogenous time series","Predictions",22.21745
"4",20.8596483333333,23.9652475,2,"All exogenous time series","Observed",18
"5",30.1620008333333,33.0760291666667,3,"All exogenous time series","Predictions",31.4818166666667
"6",30.1620008333333,33.0760291666667,3,"All exogenous time series","Observed",1
"7",18.9274516666667,21.7290041666667,4,"All exogenous time series","Predictions",19.6330166666667
"8",18.9274516666667,21.7290041666667,4,"All exogenous time series","Observed",4
"9",17.137565,20.955915,5,"All exogenous time series","Predictions",18.5988
"10",17.137565,20.955915,5,"All exogenous time series","Observed",4
"11",24.8481891666667,28.5284133333333,6,"All exogenous time series","Predictions",26.1742333333333
"12",24.8481891666667,28.5284133333333,6,"All exogenous time series","Observed",0
"13",26.4677658333333,31.2808058333333,7,"All exogenous time series","Predictions",28.8242666666667
"14",26.4677658333333,31.2808058333333,7,"All exogenous time series","Observed",4
"15",18.5562508333333,22.344805,8,"All exogenous time series","Predictions",20.5836
"16",18.5562508333333,22.344805,8,"All exogenous time series","Observed",2
"17",40.5110216666667,43.7188375,9,"All exogenous time series","Predictions",42.2514166666667
"18",40.5110216666667,43.7188375,9,"All exogenous time series","Observed",2
"19",28.4660633333333,33.2051958333333,10,"All exogenous time series","Predictions",31.1531666666667
"20",28.4660633333333,33.2051958333333,10,"All exogenous time series","Observed",14
"21",23.0072958333333,26.4156133333333,11,"All exogenous time series","Predictions",24.50975
"22",23.0072958333333,26.4156133333333,11,"All exogenous time series","Observed",25
"23",27.4052908333333,31.2148508333333,12,"All exogenous time series","Predictions",29.1519833333333
"24",27.4052908333333,31.2148508333333,12,"All exogenous time series","Observed",30
"25",15.7251016666667,18.0651941666667,13,"All exogenous time series","Predictions",16.75845
"26",15.7251016666667,18.0651941666667,13,"All exogenous time series","Observed",14
"27",18.6735083333333,21.6039308333333,14,"All exogenous time series","Predictions",19.9967833333333
"28",18.6735083333333,21.6039308333333,14,"All exogenous time series","Observed",44
"29",26.1458816666667,29.8284866666667,15,"All exogenous time series","Predictions",27.4805666666667
"30",26.1458816666667,29.8284866666667,15,"All exogenous time series","Observed",19
"31",9.1000075,11.7968233333333,16,"All exogenous time series","Predictions",10.3073333333333
"32",9.1000075,11.7968233333333,16,"All exogenous time series","Observed",2
"33",17.717685,20.437465,17,"All exogenous time series","Predictions",18.97975
"34",17.717685,20.437465,17,"All exogenous time series","Observed",3
"35",18.1304391666667,19.94898,18,"All exogenous time series","Predictions",19.1720666666667
"36",18.1304391666667,19.94898,18,"All exogenous time series","Observed",9
"37",21.3791116666667,24.2131833333333,19,"All exogenous time series","Predictions",22.9246
"38",21.3791116666667,24.2131833333333,19,"All exogenous time series","Observed",23
"39",22.29945,24.6772275,20,"All exogenous time series","Predictions",23.2826
"40",22.29945,24.6772275,20,"All exogenous time series","Observed",7
"41",22.7046625,24.96706,21,"All exogenous time series","Predictions",23.9732666666667
"42",22.7046625,24.96706,21,"All exogenous time series","Observed",0
"43",14.9830741666667,17.4068708333333,22,"All exogenous time series","Predictions",16.1109833333333
"44",14.9830741666667,17.4068708333333,22,"All exogenous time series","Observed",9
"45",13.9574725,16.0662408333333,23,"All exogenous time series","Predictions",15.0172
"46",13.9574725,16.0662408333333,23,"All exogenous time series","Observed",0
"47",10.5393108333333,13.5358066666667,24,"All exogenous time series","Predictions",12.1572333333333
"48",10.5393108333333,13.5358066666667,24,"All exogenous time series","Observed",9
"49",11.7757466666667,13.7372841666667,25,"All exogenous time series","Predictions",12.7839333333333
"50",11.7757466666667,13.7372841666667,25,"All exogenous time series","Observed",36
"51",13.9833166666667,16.0669483333333,26,"All exogenous time series","Predictions",15.0743833333333
"52",13.9833166666667,16.0669483333333,26,"All exogenous time series","Observed",23
"53",12.1982183333333,15.2075691666667,27,"All exogenous time series","Predictions",14.0277
"54",12.1982183333333,15.2075691666667,27,"All exogenous time series","Observed",0
"55",11.6642258333333,14.9246416666667,28,"All exogenous time series","Predictions",13.2202
"56",11.6642258333333,14.9246416666667,28,"All exogenous time series","Observed",0
"57",4.90001583333333,6.25552333333333,29,"All exogenous time series","Predictions",5.56303333333333
"58",4.90001583333333,6.25552333333333,29,"All exogenous time series","Observed",0
"59",2.09998166666667,2.93031333333333,30,"All exogenous time series","Predictions",2.46973333333333
"60",2.09998166666667,2.93031333333333,30,"All exogenous time series","Observed",1
"61",24.0584758333333,27.8966566666667,31,"All exogenous time series","Predictions",25.45205
"62",24.0584758333333,27.8966566666667,31,"All exogenous time series","Observed",2
"63",10.1769575,12.2909508333333,32,"All exogenous time series","Predictions",11.4088166666667
"64",10.1769575,12.2909508333333,32,"All exogenous time series","Observed",1
"65",15.7706775,18.1456233333333,33,"All exogenous time series","Predictions",16.9011166666667
"66",15.7706775,18.1456233333333,33,"All exogenous time series","Observed",3
"67",7.3431925,10.5647566666667,34,"All exogenous time series","Predictions",8.63033333333333
