"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"A[1]",3.60382289539174,2.31762609900257,-1.72593487057273,2.09813562520229,3.66765855761971,5.19415726001586,7.72281884246478,1.53382481201126,7
"A[2]",-9.38637034140776,1.4773444272741,-12.306435529513,-10.5738433484221,-9.39165903133321,-8.18018123630957,-6.82239193719469,2.33064762637229,4
"A[3]",-2.25195687586135,1.34239268352888,-4.89771230773068,-2.98565709508191,-2.3403875453661,-1.36804896298506,0.253242053214861,1.90139171429627,5
"A[4]",-0.524611660447882,10.0184216085111,-20.14027664354,-7.30950082160073,-0.416647901000752,6.44744662402294,19.0349712018959,1.0044371454053,490
"A[5]",18.3396005574563,7.39203511365405,5.49242502830145,13.1909477160965,17.0649724402176,23.3893154457735,33.9120931036824,1.09501058574225,30
"A[6]",6.86381927503431,2.71823630255474,1.16114490971021,5.48541485389327,6.902884050906,8.76634824095049,11.664229082445,1.18238390299572,46
"A[7]",3.52868326226077,1.1919531191804,0.86728066395947,2.87331447977788,3.63948353530341,4.34236095698322,5.63467974091463,1.08230260246795,270
"A[8]",4.26628942451547,3.11482171953285,-0.986958423432307,1.66710775809525,4.44771820440646,6.56197098796908,10.5511765522091,2.02266381029808,5
"A[9]",-5.13023608247075,1.93670384181163,-8.96794256183664,-6.52625708141292,-5.02275145120348,-3.5801206448418,-1.77105111053276,1.17282529823032,17
"A[10]",2.17343176881854,2.56839440224123,-3.12096192565458,0.478057791565443,2.31067182737144,4.13964702882966,6.49025076490074,1.33930494321379,10
"Phi[1,1]",0.0553203845133809,0.0741554416791769,-0.0822225455137254,0.00260655459537732,0.062299503436229,0.102647827498557,0.203690658642196,1.56588128007414,7
"Phi[2,1]",0.0341179621103318,0.0866077012336351,-0.09430043849718,-0.0238054217164582,0.0152221199686183,0.0882367402333479,0.242318505345447,2.67318263562855,4
"Phi[3,1]",0.0287879618561524,0.0313870050959066,-0.0365669343537233,0.00903587774791128,0.0345939520404848,0.0548002144321797,0.0742968194967152,1.5841574226042,7
"Phi[4,1]",0.0603761753096122,0.527761485672187,-0.913244155660976,-0.340014820703417,0.061619280837889,0.484813592406256,0.945798924265454,1.02990529923454,75
"Phi[5,1]",0.102085093200388,0.298124845204912,-0.473860365377472,-0.0699665291734881,0.0627769203978104,0.301043895046641,0.714444861627945,2.6162333376762,4
"Phi[6,1]",0.00338389556509177,0.126212143835278,-0.185666486387421,-0.0976904671916057,-0.0174108935836332,0.0966997966531801,0.270615614943223,2.40896124985643,4
"Phi[7,1]",-0.0170693510249356,0.0391209493487855,-0.0749667839514279,-0.0479381171751357,-0.0222087191885147,0.00193247748723722,0.0812697474722631,1.30798330544464,11
"Phi[8,1]",-0.248061315939194,0.158136669476014,-0.627353769007959,-0.332193176504388,-0.204896094972141,-0.128309621224329,-0.0358998554101771,2.32667851300122,4
"Phi[9,1]",-0.183342205940672,0.126145449777187,-0.460515584032249,-0.238512861758594,-0.156844398379228,-0.0876361450180964,-0.00602622083404308,1.60718180234307,8
"Phi[10,1]",-0.139476244400263,0.121767969632861,-0.388099137746322,-0.219231602112893,-0.133898646151733,-0.054175619631907,0.0988063696001691,1.19483314818466,22
"Phi[1,2]",-0.0164781607008204,0.112407611197691,-0.173467415824549,-0.1061622536225,-0.0550907267023055,0.103575395875381,0.182062153896017,4.62079313713242,3
"Phi[2,2]",0.405776383421678,0.0785054325681754,0.266182222637882,0.347250394436024,0.409522984120343,0.455604980513277,0.573534973712498,1.7761013640432,6
