"","features_complete","feature_name","lags","feature_week","error","abs_error","Data_source","Association","Initial_training_samples"
"1","pmm_lag.7","pmm",7,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"2","pmm_lag.6","pmm",6,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"3","pmm_lag.5","pmm",5,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"4","Ur_lag.10","Ur",10,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"5","Ur_lag.9","Ur",9,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"6","Ur_lag.8","Ur",8,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"7","St5cm_lag.9","St5cm",9,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"8","St5cm_lag.8","St5cm",8,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"9","St5cm_lag.7","St5cm",7,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"10","y_lag.1","y",1,30,0.0264920553735766,0.0264920553735766,"Passo Fundo","All climate time series","30"
"11","Ur_lag.10","Ur",10,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"12","Ur_lag.9","Ur",9,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"13","Ur_lag.8","Ur",8,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"14","St5cm_lag.9","St5cm",9,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"15","St5cm_lag.8","St5cm",8,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"16","St5cm_lag.7","St5cm",7,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"17","y_lag.1","y",1,31,2.93650855477948,2.93650855477948,"Passo Fundo","All climate time series","30"
"18","Ur_lag.9","Ur",9,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"19","Ur_lag.8","Ur",8,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"20","Ur_lag.7","Ur",7,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"21","St5cm_lag.9","St5cm",9,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"22","St5cm_lag.8","St5cm",8,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"23","St5cm_lag.7","St5cm",7,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"24","y_lag.1","y",1,32,1.06148902499893,1.06148902499893,"Passo Fundo","All climate time series","30"
"25","St5cm_lag.13","St5cm",13,33,7.00936361904994,7.00936361904994,"Passo Fundo","All climate time series","30"
"26","St5cm_lag.12","St5cm",12,33,7.00936361904994,7.00936361904994,"Passo Fundo","All climate time series","30"
"27","St5cm_lag.11","St5cm",11,33,7.00936361904994,7.00936361904994,"Passo Fundo","All climate time series","30"
